descr|cat
масло сливочное тысяча озёр 180 г жирность 82,5%|1
конфеты раффаэлло, 150 г|7
сыр брынза mlekara subotica 220 г|1
стеклоомывающая жидкость biloxxi - 25c 5 л, цена при покупке кратно 2 шт|9
колбаса пепперони дымов сырокопченая 1 кг|0
корм friskies, для кошек и котят, сухой, 1,5–2 кг, в ассортименте|9
жевательная резинка five в ассортименте 31,2 г|7
товары для фитнеса: - actico: гантели, 1 кг, 2 шт. в уп. – 299 руб.; диск здоровья, с функцией массажа – 359 руб.; коврик для йоги, gb- s1409, 173х 61х 0,6 cм – 399 руб. - фитбол fb- 01, 75 см, в комплекте с насосом – 649 руб.|9
семечки богучарские, очищенные, 75 г|5
набор игровой play- doh: - стильный салон рэйнбоу дэш - выпечка на завтрак|9
кетчуп слобода, в ассортименте, 350 г|6
средство для мытья посуды аос, в ассортименте, 500 мл|9
мука кукурузная кудесница, 700 г|5
шоколад milka darkmilk, 85 г, в ассортименте|7
набор pantene pro- v aqua light, шампунь + бальзам, 1 шт.|9
сидр somersby, яблочный, сладкий, 4,7%, 0,44 л|8
прокладки always 36- 50 шт/ уп|9
товары для уборки hausmann: - насадка для швабры, микрофибра: с механизмом отжима; со слайд- механизмом – 199,90 руб. - швабра: с механизмом отжима; со слайд- механизмом – 1199 руб.|9
соусы heinz в ассортименте 230 г|6
моторное масло mobil 1 esp 5w- 30 синтетическое 4л|9
набор metaxa: напиток спиртной, 5- летний, 0,7 л, греция; бокал + стопка|8
конфеты raffaello, 120 г|7
десерт творожный активиа 130 г в ассортименте|1
ликер амаретто сан марко, 25%, 0,5 л|8
набор посуды me to you/ hello kitty, фарфор, 3 предмета|9
тушка кролика вакуумная упаковка 1 кг|0
вино домашнее, в ассортименте, полусладкое, 0,7 л. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|8
напиток газированный пепси, 2,25 л|9
хлеб хлебный дом геркулес, 500 г, в ассортименте|7
крабовые палочки и мясо vici в ассортименте 1 кг, цена при покупке кратно 2 шт|3
брюки мужские authentic состав: 100% хлопок размер: s- 3xl|9
воздушное суфле, покрытое шоколадом, grabawer, 250 г|7
кофе carte noire растворимый 150 г|5
пиво охота крепкое 1,4 л|8
конфеты from the heart, с вишней, 288 г|7
пюре гербер, в ассортименте, 90 г|9
вино kumala reserve, сухое, 0,75 л, юар, в ассортименте|8
средство для прочистки труб tiret turbo , цена при покупке кратно 2 шт|9
колбаса лента краковская, гост, полукопченая, 400 г|0
антиперспирант deonica, женский/ мужской, 200 мл, в ассортименте|9
бекон лента, варено- копчеый, нарезка, 400 г|0
товары для упаковки лента: - лента клейкая, двусторонняя, на вспененной основе, 1,9 см х 3,5 м – 35,99 руб. - стретч- пленка багажная, 25 см х 30 м х 0,2 мм – 109,99 руб.|9
колбаса зернистая, гост, сырокопченая (калининградский деликатес), 200 г|0
кисель фрутоняня, в ассортименте, 200 мл|9
чистящий порошок пемолюкс, в ассортименте, 480 г|9
набор basilur - чай, 100 г - бутылка для заваривания холодного чая|5
масло оливковое extra virgin / 100%de cecco 1 л|6
газированный напиток coca- cola fanta sprite в ассортименте 0, 5 л|9
носки мужские fm, р- р 25–29, цвета в ассортименте|9
пиво zatecky gus, светлое, 4,6%, 0,45- 0,48 л|8
корм для кошек friskies, кролик с овощами, 1,5 кг|9
овощи дядя ваня, маринованные, 1800 г: - ассорти томаты и огурцы - томаты - огурцы|6
перчатки хозяйственные, суперэластичные, 1 пара|9
конфеты золотая лилия, konti, 100 г|7
конфеты птичье молоко рот фронт 500 г|7
майонез mr.ricco organic в ассортименте 400 мл жирность 67% , цена при покупке кратно 2 шт|6
ликер jagermeister, десертный, 35%, 0,5 л|8
кофе jacobs monarch, классический, молотый, 230 г|5
палочки крабовые/ мясо меридиан снежный краб, охлажденные, 200 г|3
мыло для дамъ и господъ, в ассортименте, тм заводъ братьев крестовниковыхъ, 190 г|9
кукла сказочный патруль, в ассортименте|9
кофе egoiste noir растворимый 100 г|5
трусы для девочки fm, 100% хлопок, р- р 98–152, 3 шт. в уп.: ug035, gb- 07|9
коньяк старейшина 7 лет 1 л|8
мармелад жевательный mamba, 70–72 г, в ассортименте|7
конфеты жаклин, со вкусом клубники, славянка, 100 г|7
шоколад milka в ассортименте 80- 97 г|7
сок агуша 0,2 л в ассортименте, цена при покупке кратно 2 шт|9
вино cuartel, в ассортименте, 0,75 л|8
майонез махеевъ, 50,5- 67%, 400 мл, в ассортименте|6
средство для стирки ласка 1 л, цена при покупке кратно 2 шт|9
бренди torres 10 years п/ у 0,7 л, цена/ цена кратная 2 бутылкам|8
чай черный принцесса нури, высокогорный, 25 пакетиков|5
чипсы pringles, 150–165 г, в ассортименте|5
йогурт питьевой чудо, в ассортименте, 2,4%, 270 г|1
рислинг ледяное вино фанагорияп/ у белое сладкое вино россия, краснодарский край 0,375 л, цена/ цена кратная 6 бутылкам|8
агуша: компот яблоко- курага- изюм; морс ягодный сбор, 200 мл|9
10|9
led- лампы osram форма: свеча (е14), шар (е14, е27) 5,4вт = 40вт теплый свет|9
колготки женские la manche pierre cardin цвета: nero, fumo, visone размеры: 2- 5, цена при покупке кратно 2 шт|9
чай подарочный nadin, черный/ зеленый, 50 г: - пакет – 79,99 руб. - тубус – 139,99 руб.|5
колготки женские allegra 40 glamour цвета: daino, nero размеры: 2- 4, цена при покупке кратно 2 шт|9
крупа гречневая элитная, агро- альянс, 900 г|5
йогурт landliebe 150 г в ассортименте , цена при покупке кратно 2 шт|1
рыбная консервация вкусные консервы 160- 240 г|4
коньяк золотой резерв, 5- летний, 40%, 0,5 л|8
средства для укладки волос taft: - пена, 150 мл - лак, 225 мл|9
колбаса ремит палермо, сырокопченая, нарезка, 100 г|0
ветчина мп атяшево, из бедра индейки, 500 г|0
виски grants 0,75 л, цена/ цена кратная 2 бутылкам|8
ящик для инструментов fairline размеры 245х 250х 485 мм 16 дюймов, цена при покупке кратно 2 шт|9
говядина тушеная, высший сорт, гост, елинский мк, 525 г|0
чай twinings, 100 г: - черный: earl grey, english breakfast - ганпаудер, зеленый|5
пижама женская, 1 шт.|9
шампанское veuve clicquot, белое брют, в подарочной упаковке, 0,75 л, франция|8
вода агуша, для детей, 1,5 л|9
конфеты фруже промо- пак 190 + 190 г, цена при покупке кратно 2 шт|7
косметика gliss kur, 150–300 мл: - шампунь, бальзам – 119,99 руб. - экспресс- кондиционер, масло- спрей, маска – 189,99 руб.|9
игровой набор маленькая хозяйка, 1 шт.|9
шоколад milka, молочный, 276–300 г, в ассортименте|7
посуда, стекло: - тарелка для торта, с лопаткой: 23 см – 199,99 руб.; 30х 30 см – 299,99 руб. - подставка для закусок и фруктов, 2- ярусная – 399,99 руб.|9
мини- маффины kovis, 470 г, в ассортименте|7
текила sauza silver 1 л|8
конфеты шоколадные dolce albero, воздушные, 100 г, в ассортименте|7
вино ликерное sandeman, красное, в подарочной упаковке, 0,75 л, португалия, в ассортименте|8
ром captain morgan 0,7 л в ассортименте, цена/ цена кратная 2 бутылкам|8
гречка ядрица увелка, экстра, 800 г|5
пиво faust krausen, plis 0,5 л германия|8
йогурт даниссимо, фантазия в ассортименте, 105 г|1
карамель werthers original, storck, сливочная, 90 г|7
набор бархатные ручки, роскошное питание, 1 шт.|9
прокладки naturella ультра нормал, 40 шт.|9
водка русский стандарт, 0,5 л, россия|8
лепешка сырная, весовая|6
набор бархатные ручки, энергия асаи, 1 шт.|9
йогурт epica, 4,8–6,3%, 130 г, в ассортименте|1
творог обезжиренный простоквашино, 0,2%, 210 г|1
zinfandel kendall- jackson красное сухое вино сша, калифорния 0,75 л, цена/ цена кратная 6 бутылкам|8
семга бухта изобилия, стейк, 700 г|3
конфеты мерси, молочный шоколад, 250 г|7
таблетки для посудомоечных машин finish 54- 65 шт./ уп|9
десерт чудо, 4–5,2%, в ассортименте|1
сыр грюйер le superbe 195 г|1
сменный баллон для автоматического освежителя воздуха airwick 250 мл|9
водка легенда кремля фолиант, в подарочной упаковке, 0,7 л, россия|8
набор посуды crystalex ангела, чехия, отводка золото, панто, хрустальное стекло, 1 уп.: - бокалы, 2 шт.: для вина, 250 мл; для шампанского, 190 мл – 499,99 руб. - рюмки, 60 мл, 6 шт. – 999,99 руб.|9
мясо цыпленка, в собственном соку, лужский кз, 325 г|0
водка георгиевская 0,5 л|8
грудинка с чесноком, копчено- вареная, (копченов), 500 г|0
утка лента, фаршированная квашеной капустой и клюквой, охлажденная, весовая, 1кг|0
мороженое чистая линия пломбироешка, 450 г, в ассортименте|7
конфеты родные просторы в ассортименте 120 125 г|7
виноград ред глоб 500 г различные страны|2
сыр плавленый хохланд, чизбургер, 150 г|1
печенье сдобное яшкино, 137 г, в ассортименте|7
ополаскиватель для ухода за полостью рта listerine expert, 250 мл, в ассортименте|9
зразы картофельные с грибами, ильина, 500 г|4
набор segafredo: - кофе, молотый, 250 г + френч- пресс - кофе, молотый, 250 г + плед|5
сырок творожный свитлогорье, глазированный, 23- 26%, 45–50 г, в ассортименте|1
ликер baileys, эмульсионнный, сливочный, в подарочной упаковке, 0,7 л, ирландия|8
сыр моцарелла, претто, чильеджина, 45%, 100 г|1
пюре gerber, в ассортименте, 80 г|9
чай nadin, в ассортименте, 50 г|5
набор сковород tefal hard titanium 21+ 28 см подходит для индукционных плит|9
сыр полутвердый сливочный arla natura нарезка 300 г|1
chateau tamagne красное сухое вино россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
пиво балтика №7 экспортное 1,35 л|8
сыр ольхово, плавленый, копченый, нарезка, 40%, 150 г|1
колбаса деревенская, вареная (мпк атяшевский), 500 г|0
вино душа монаха, столовое, в ассортименте, полусладкое, 0,7 л, россия|8
боксеры мужские vintage club m109 цвета: бежевый, синий размеры: m - xxl, цена при покупке кратно 2 шт|9
моно- овощи horeca select в ассортименте 2,5 кг|4
шоколад jacquot, в ассортименте, 100 г|7
вода минеральная ессентуки, гост, газированная, 0,54 л, в ассортименте|9
codes du phone aoc francois bour красное сухое вино франция, долина роны 0,75 л, цена/ цена кратная 6 бутылкам|8
трусы fm, 95% хлопок, 5% полиуретан, р- р 98–152: - для девочки: uc- 06, uc7- 01, uc7- 05, uc7- 03, g207 – 59,99 руб. - для мальчика: b008- 1, uc- 02 – 79,99 руб.|9
пакеты для завтрака, 50 шт.|9
скатерть пионы: - полулен, 145х 110 см – 399 руб. - хлопок, 150х 200 см – 899,99 руб.|9
сосиски папа может (омпк), 350 г|0
кофе milagro gold roast, растворимый, 100 г|5
набор питьевой luminarc стекло кувшин 1,6л + 6 стаканов 200 мл, цена при покупке кратно 2 шт|9
коньяк старый кенигсберг российский, 4- летний, 40%, 0,5 л|8
принадлежности постельные, шерсть: - подушка win collection every day - одеяло бельвита|9
подгузники pampers sleep&play, 1 уп.: - 5–9 кг, 58 шт. - 8–14 кг, 50 шт. - 11–18 кг, 42 шт.|9
кипятильник gastrorag dk- w- 100 объем 20 л с терморегулятором|9
помидоры trattoria di maestro turatti, в ассортименте, 400- 500 г|6
ликер baileys, сливочный, 17%, 0,7 л|8
семга русское море, филе- кусок слабой соли, 250 г|3
чай лента, черный/ зеленый, 100 пак. в уп., в ассортименте|5
гель для душа jonsons body care vita- rich, в ассортименте, 250 мл|9
сардельки элитные (иней), 400 г|0
винный напиток santo stefano, в ассортименте, 0,75 л|8
напиток безалкогольный, сильногазированный, 2 л: - fanta: апельсин, цитрус - coca- cola - sprite|9
нектары и напитки любимый, в ассортименте, 1,93 л|9
чай richard, royal ceylon, черный, 100х 2 г|5
щетка зубная oral- b, чистота. свежесть. сила, средней жесткости, 1 шт.|9
вино s de sommelier, сухое, 0,75 л, франция, в ассортименте|8
полотенце, 1 уп., дизайны в ассортименте|9
мельницы kotanyi в ассортименте 33 - 92 г|5
соки и нектары добрый, 2 л, в ассортименте|9
конфеты кит кат, молочные, мини, 202 г|7
средство для чистки ковров ваниш, 3в 1 антибактериальное, 450 мл|9
филе грудки индейки, охлажденное, весовое, 1 кг|0
сыр с голубой плесенью bludelice 250 г|1
печенье лулу, сдобное, весовое|7
вино игристое аристов, розовое брют, 0,75 л|8
набор детской косметики, с аппликатором: - мини – 69 руб. - тени, блеск для губ – 399 руб. - тени, лак, помада – 499 руб.|9
одежда женская домашняя fm, вискоза, р- р 42–52: - майка, l11820, шорты, l11822 – 399 руб. - блуза, l11821 – 499 руб. - сорочка, l11811, брюки, l11810 – 599 руб. - халат, l11806 – 999 руб.|9
напиток винный газированный ля резерв, клубника со сливками, розовый, сладкий, 0,75 л|8
виски william lawsons 0,7 л|8
колбаски из говядины 660 г охлажденные газомодифицированная упаковка|0
кетчуп балтимор, адмирал, 260 г|6
bouchard aine&fils ассортименте франция, долина роны 0,75 л, цена/ цена кратная 6 бутылкам|8
набор игровой кукла с велосипедом|9
хлебцы щедрые тонкие, 170 г, в ассортименте|7
посуда atmosphere alfa: - ковш, 1,6 л – 589,99 руб. - кастрюля: 2,3 л – 589,99 руб.; 3,1 л – 659,99 руб.; 5,8 л – 919,99 руб.|9
рис националь краснодарский, 900 г|5
кекс аладушкин творожный, 300 г. 2 по цене 1. цена указана за единицу товара и действительна при одновременной покупке 2 шт.|7
кофе черная карта, молотый, жареный, 250 г|5
напиток сокосодержащий добрый pulpy, в ассортименте, 450 мл|9
пюре мясное тёма, 100 г: - с 6 мес. - с 8 мес.|9
паста томатная, гост, кухмастер, 480 г|6
пряник донской, с повидлом, дымка, 420 г|7
суп maggi, звездочки, 54 г. 2+ 1. цена указана за 1 шт., при покупке 3 шт. одновременно|5
пиво amstel, premium pilsner, светлое, 4,8%, 0,45 л. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|8
конфеты конти, крем- брюле с молочно- карамельной глазурью, 1 кг|7
килька черноморская, обжаренная в томатном соусе, знак качества, 240 г|3
мука пшеничная лента, 2 кг|5
набор чая hyleys, 45 пак. в уп.|5
тунец mariso, в ассортименте, 185 г|3
сахар русский, рафинад, 500 г|5
клубника vитамин, отборная, 300 г|4
бекон по- украински микоян 1 кг|0
кофе carte noire, растворимый, 95 г|5
виски chivas regal extra п/ у 0,7 л|8
батарейки panasonic alkaline 4 шт./ уп. аа , ааa , цена при покупке кратно 2 шт|9
салфтеки в рулоне house lux 70% вискоза,30% полиэфирное волокно размер листа: 22 х 23 см 125 листов в рулоне 2 рулона в упаковке , цена при покупке кратно 2 шт|9
чай akbar, черный, мелколистовой, 25х 2 г|5
боксеры мужские authentic цвета: в ассортименте размеры: 46- 54 + майка мужская authentic цвет: белый размеры: 46- 56 , цена при покупке кратно 2 шт|9
кофе nescafe classic, растворимый, 75 г|5
шампунь pantene, в ассортименте, 360- 400 мл|9
вино castillio santa barbara crianza, красное, сухое, 0,75 л, испания|8
йогурт чудо, в ассортименте, 2,5%, 125 г|1
шоколад особый (фабрика крупской), 90 г|7
вино игристое де перьер блан де блан, белое, брют (франция), 0,75 л|8
конфеты самарский кондитер, в ассортименте, 205 г|7
трусы мужские gerold, 100% хлопок, р- р 44–54: 6- 456, 6- 454|9
конфеты а.коркунов ассорти, из темного и молочного шоколада, 110 г|7
конфеты lindor, 200 г, в ассортименте|7
ваза, в ассортименте|9
краска для волос color naturals в ассортименте|9
макароные изделия ameria 700 г|5
колбаса докторская, вареная, новгородский бекон, 500 г|0
шоколад swiss original, 100 г, в ассортименте|7
средства для стирки tide, в ассортименте, 3 кг; 1,235 л; 15 шт.|9
форель/ семга трк океан, филе- ломтики слабой соли, 100 г|3
авторское вино фанагория в ассортименте россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
завтрак готовый космостарс, звездочки и галактики медовые, 450 г|5
чистящий гель comet 500мл- 1 л|9
печенье постное с луком, piccolo, 220 г|7
эскалоп из индейки охлажденный лоток 1 кг|0
водолазка для мальчиков; для девочек, 1 шт.|9
консервы рыбные лента, 185–240 г: - тунец кусочками в масле - тунец для салата - тунец кусочками - горбуша - шпроты|3
сливки большая кружка, ультрапастеризованные, 10%, 200 мл|1
растишка творожок, в ассортименте, 3,5%, 6x45 г|9
покрывало пастель 100% хлопок цвета в ассортименте 230х 260 см|9
набор посуды taller, нержавеющая сталь, с силиконовыми ручками, с крышками - кастрюля, 2,7 л - ковш, 1,3 л|9
бритвенный станок venus|9
напиток сокосодержащий добрый палпи, апельсин, 450 мл|9
приправа gallina blanca, традиционная, 75 г|5
бекон венгерский дымов сырокопченый 200 г|0
конфеты raffaello, 150 г|7
биопродукт овсяный велле, питьевой, в ассортименте, 250 г|1
chateau tamagne игристое розовое брют россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
средство для мытья посуды fairy, нежные руки, ромашка и витамин е, 900 мл|9
гель для стирки laver, в ассортименте, 1 л|9
паштет ham? деликатесный, 105 г, в ассортименте|0
водка медофф, люкс, 40%, 0,5 л|8
перчатки: - полная защита рук, прорезиненный латекс; покрытие вспененный латекс: утепленные, акрил; меланж, полиэстер – 79,99 руб. - полный нитриловый облив – 89,99 руб.|9
макароны grand di pasta, 500 г: - спагетти - спираль - перья - виток|5
яблоки фуджи, 1 кг|2
майонез ряба провансаль, фермерский рецепт, 72%, 372 г|6
коньяк старый кенигсберг российский, 5- летний, 40%, 0,5 л|8
наполнитель для кошачьего туалета catsan, впитывающий, 5 л|9
салфетка универсальная scotchbrite, 3 по цене 2 шт.|9
овощная консервация скатерть- самобранка от 500 мл|6
пельмени русь православная, с грибами и луком, 420 г|4
конфеты raffaello 150 г|7
блинчики с мясом сибирский деликатес 800г- 840 г|4
набор подарочный nivea, гель для душа, 250 мл + антиперспирант невидимый для черного и белого, 150 мл|9
форель радужная 200/ 300 sagun свежемороженая 1 кг|3
ликурия лефкадия красное сухое вино россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
напиток ten strike, безалкогольный, в ассортименте, 0,45 л|9
напиток винный bosca, газированный, 0,75 л, литва, в ассортименте|8
чай greenfield, в ассортименте, 100 г|5
молочная смесь nan 3, с 12- ти мес.; nan 4, с 18- ти мес., 400 г|9
пиво охота крепкое, светлое, 0,45 л, россия|8
крабовые палочки, охлаждённые, vici, 500 г|3
ветчина из свиного окорока черкизовский мк 800 г|0
тампоны о.в. 16 шт./ уп|9
майонез мистер рикко, на перепелином яйце, 67%, 750 г|6
платье для девочки fm, 100% хлопок, р- р 92–128: mbb12,|9
колбаса семейные секреты, краинская, полукопченая, 500 г|0
сервелат швейцарский fini life варено- копченый 250 г|0
филе трески borealis, без кожи и кости, весовое, 1 кг|3
матрас надувной bestway queen: - без насоса, 203х 152х 22 см – 999 руб. - 203х 152х 46 см, c электронасосом – 2999 руб.|9
грудка цыпленка бройлер ясная горка варено- копченый 1 кг|0
блендер homeclub hb6038ky- gs - турбо режим|9
old vine zin gnarly head красное сухое вино сша, калифорния 0,75 л, цена/ цена кратная 6 бутылкам|8
посуда atmosphere триумф: - салатник: 13 см – 199,99 руб.; 24 см – 499,99 руб.; 20 см – 599,99 руб. - блюдо, 25 см – 449,99 руб. - ваза, 24 см – 699,99 руб.|9
корм для кошек perfect fit, в ассортименте, 85 г. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|9
газированные напитки из черноголовки в ассортименте 0, 5 л , цена при покупке кратно 2 шт|9
конфеты коркунов, ассорти, молочный шоколад с дробленым фундуком, 192 г|7
десерт monte, шоколад- орех, 13,3%, 55 г. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|1
огурцы валдайский погребок, боярские, 650 г|6
горошек, кукуруза, фасоль globus 400 - 425 мл|6
кефир резной палисад, 1%, 750 г|1
гель для душа fa, 250 мл, в ассортименте|9
фарш свино- говяжий «домашний» 500 г охлажденный газомодифицированная упаковка|0
подушки шерсть мериноса ткань чехла: 100% хлопок, поплин, наполнитель: 30% шерсть мериноса, 70% силиконизированное волокно 50х 70 см, - 599, 70х 70 см, - 749 , цена при покупке кратно 2 шт|9
вино абрау, сухое, 0,75 л, россия, в ассортименте|8
крем для рук бархатные ручки 80 мл|9
набор чая svay: lassic variety spring, 24 пирамидки – 249,99 руб. berry variety, 48 пирамидок – 449,99 руб.|5
тостер scarlett st- tm110015 - регулятор степени поджаривания - 6- позиционный таймер - кнопка отмены|9
зонт: - автомат: ds- 331 – 359 руб. - суперавтомат: – 549 руб.|9
шоколадные конфеты merci в ассортименте 250 г|7
водка beluga 0,5 л|8
тапки женские, р- р 36–40, в ассортименте|9
окорок российский, копчено- вареный, нарезка, останкино, 150 г|0
томаты на ветке, 1 кг|2
набор конфет а.коркунов, ассорти, 192 г|7
хамон серрано tello сыровяленый нарезка 125 г|0
рахат- лукум восточный гость, классический, 300 г|7
йогуртный продукт 1,2% нежный 100 г в ассортименте|1
сорочка женская n.o.a., 100% хлопок, р- р 46–54:|9
батончик ого с облепихой, 30 г|7
комплект постельного белья василиса пионы, ранфорс, 100% хлопок: - 1,5- спальный – 999,99 руб. - 2- спальный – 1299 руб. - евро – 1499 руб. - дуэт – 1699 руб.|9
лук trattoria di maestro turatti, в винном уксусе, 300 г|6
коньяк арарат, 3- летний, 0,7 л, армения|8
халва дружба, с арахисом, ротфронт, 250 г|7
игрушка мягкая bigga медведь белый, 46 см|9
гель для стирки typhoon, концентрированный, 980 мл, в ассортименте|9
каперсы trattoria di maestro turatti, в винном уксусе, 210 г|6
коньяк саят нова, армянский, семилетний, 40%, 0,5 л + 2 бокала|8
шампунь pantene, густые и крепкие, 400 мл|9
taittinger gift box шампанское белое брют франция, шампань 0,75 л, цена/ цена кратная 6 бутылкам|8
газированный напиток pepsi твин- пак 2?1, 75 л|9
таблетки для посудомоечных машин лента, 7 in 1, 60 шт. в уп.|9
водка kremlin award classic 0,7 л|8
сменный картридж для фильтра аквафор в- 6 для жесткой воды 2 шт. в уп.|9
сервелат кремлевский, варено- копченый (мпк атяшевский), 600 г|0
торт графские развалины, со сгущенкой, невские берега, 300 г|7
sauvignon blanc vicars choice saint clair белое сухое вино новая зеландия, мальборо 0,75 л, цена/ цена кратная 6 бутылкам|8
груша вильямс, весовая, 1 кг|2
мороженое айсберри филевское, 80–90 г, в ассортименте|7
хлебцы щедрые, в ассортименте, 100 г|7
пивной напиток velkopopovicky kozel, темный, 3,7%, 0,5 л. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|8
жевательная резинка jucy fruit, фруктовый микс, 15,9 г|7
масло оливковое филиппо берио, экстра верджин, 250 мл|6
мусс даниссимо йогуртный, воздушный, в ассортименте, 5,4%, 135 мл|1
конфеты вдохновение, шоколадное пралине с дробленым фундуком, 400 г|7
шоколад ritter sport в ассортименте 100 г|7
зубная паста colgate, в ассортименте, 75 мл|9
мешки для мусора swirl, с завязками, 1 уп., в ассортименте|9
кофе якобс, монарх, сублимированный, 75 г|5
удлинитель сетевой старт, без заземления, без выключателя, 3 розетки, 5 м|9
вино chateau tamagne reserve, сухое, в подарочной упаковке, 0,75 л, россия, в ассортименте|8
cabernet sauvignon backsberg красное сухое вино юар, паарл 0,75 л, цена/ цена кратная 6 бутылкам|8
шоколад коммунарка, в ассортименте, 200 г|7
соус астория, 42%в ассортименте, 200- 233 г|6
шоколадный батончик picnic 38 г|7
закуска в ассортименте, дядя ваня, 460 г|6
водка хаски, 0,7 л, россия|8
моно- овощи и грибы vитамин в ассортименте 400 г|4
чистящее средство биолан 400 г , цена при покупке кратно 2 шт|9
паштеты hame в ассортименте 105 г|0
батончик mixbar, 56 г|7
сыр плавленый хохланд, в ассортименте, 400 г|1
кофе растворимый мкнп суаре, коломбо 95 г|5
масло заботливая хозяйка, крестьянское, сливочное, 72,5%, 180 г|1
вино игристое chateau tamagne, белое, в ассортименте, 0,75 л, россия|8
килька балтийская филе анчоус балтийский берег в ассортименте 145 г , цена при покупке кратно 2 шт|3
йогурт даниссимо, фантазия, соленая карамель, 105 г|1
водка русский лед, 40%, 0,5 л|8
ликер бейлис, сливочный, оригинальный, 17% (ирландия), 0,5 л|8
йогурт питьевой вкуснотеево, в ассортименте, 1,5%, 750 г|1
коньяк hennessy v.s.o.p., в подарочной упаковке, 0,5 л, франция|8
луковицы и корневища цветов, микс, 1 уп.: - лилии, 14/ 16, 3 шт. – 99,99 руб. - гладиолусы, 10/ 12, 10 шт. – 99,99 руб. - георгины, размер i, 3 шт. – 179,99 руб.|9
корм для кошек friskies в ассортименте 100 г- 2 кг|9
коньяк старейшина, российский, пятилетний, 40%, 0,5 л|8
трюфель rio doro, классический, 200 г|7
кус- кус с овощами в соусе марокко, vитамин, 400 г|4
конфеты шоколадные vobro, с вишней в ликере, 90 г, в ассортименте|7
мягкая игрушка микки маус, медвежонок винни, 1 шт.|9
сыр мягкий домик в деревне, деревенский, 45%, 200 г|1
банка для сыпучих продуктов 22 см, 1,7 л стекло, цена при покупке кратно 2 шт|9
сухая детская смесь 2 / 3 frico gold 400 - 800 г|9
посуда rondell turquoise, с крышкой: - ковш, 1,5 л – 1599 руб. - кастрюля, 2,8 л – 1899 руб.; 3,8 л – 1999 руб. - чайник, 2 л – 1899 руб.|9
универсальная приправа галлина бланка, традиционная, 75 г|5
herbert beaufort в ассортименте франция, шампань 0,75 л, цена/ цена кратная 6 бутылкам|8
напиток сывороточно- молочный neo мажитэль , стерилизованный, 0,04–0,05%, 950 г, в ассортименте|1
грибы green ray, соленые/ маринованные, 580 мл, в ассортименте|6
шоколад бабаевский, в ассортименте, 100 г|7
косметика для лица green mama: - лосьон для снятия макияжа с глаз, 100 мл - скраб, 170 мл - гель- крем, 300 мл - маска, 170 мл|9
вино игристое duc de paris, белое, 0,75 л, франция, в ассортименте|8
веллафлекс, объем до 2 дней, экстрасильная фиксация: лак для волос, 250 мл; пена для волос, 200 мл|9
алеритив campari bitter 0,75 л|8
водка зимняя дорога, 40%, 0,25 л|8
чай черный липтон эрл грей, 25 пакетиков|5
пиво liebenweiss hefe weissbier, светлое, пшеничное, нефильтрованное, 5,5%, 0,5 л|8
мясо мидий emborg варено- мороженные 240 г , цена при покупке кратно 2 шт|3
водка царская золотая 0,5 л|8
молоко сгущенное люблинское, гост, цельное, с сахаром, 380 г|7
утварь кухонная: - форма для выпечки разъемная: 22 см – 249,99 руб.; 26 см – 299,99 руб. - прихватка- варежка, силикон/ текстиль, 28,5х 18 см – 269,99 руб.|9
пшено увелка, шлифованное, 5 пакетиков х 80 г|5
ополаскиватель для белья lenor 0,93- 1 л|9
водка парламент, 40%, 0,5 л|8
колбаса докторская велком 620 г, цена при покупке кратно 2 шт|0
колбаски новгородский бекон швейцарские, полукопченые, весовые, 1 кг|0
кукла my little pony: - equestria girls: pinkie pie, мини, 12 см – 599 руб.; легенда вечнозеленого леса, 22 см – 899 руб. - the movie pinkie pie мерцание, 15 см – 1799 руб.|9
стельки scholl everyday, work, sport|9
грибы fine life в ассортименте 400 г|4
конфеты левушка, славянка, 100 г|7
филе куриное охлажденное подложка 1 кг|0
одежда домашняя женская fm, р- р 42–52: ss15uw014, pipsa|9
биойогурт питьевой био- баланс, в ассортименте, 1,5%, 330 г|1
вино киндзмараули, красное, полусладкое, 0,75 л|8
тампоны kotex, в ассортименте, 16 шт.|9
окорок свиной беcкостный охлажденный вакуумная упаковка крупный кусок 1 кг|0
сервелат столичный, варено- копченый (иней), 400 г|0
пломбир horeca select в ассортименте 2,5 кг|7
кофе нескафе, голд, растворимый, 47,5 г|5
йогурт чудо, в ассортименте, 290 г|1
колбаса со сливками, вареная, пит- продукт, 200 г|0
ром bacari carta negra 0,7 л|8
ядро миндаля, naturfoods, 130 г|5
коньяк старый кенигсберг кв 0,7 л|8
кофе paulig, жареный, молотый, 200 г: - new york - havana - paris|5
прокладки ежедневные discreet 100 шт/ уп.|9
десерт творожный даниссимо, в ассортименте, 130 г|1
